seed,arm,update_index,target_agent_id,critic_response_count,original_student_reached,safety_only_student_reach_lower_bound,safety_only_student_reach_upper_bound,branch_category_set
59,W1_TOP2,4,0,2,False,True,True,SEMANTIC_QUALITY_ONLY
59,W1_TOP2,4,2,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
59,W1_TOP2,5,1,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
59,W1_TOP2,5,3,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
59,W1_TOP2,6,0,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
59,W1_TOP2,6,4,1,True,True,True,
59,W1_TOP2,7,1,2,True,True,True,SEMANTIC_QUALITY_ONLY
59,W1_TOP2,7,3,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,HYBRID_BASE,0,0,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,HYBRID_BASE,0,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,HYBRID_BASE,1,2,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,HYBRID_BASE,1,3,1,True,True,True,
60,HYBRID_BASE,2,3,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,HYBRID_BASE,2,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,HYBRID_BASE,3,0,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,HYBRID_BASE,3,1,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,HYBRID_BASE,4,2,1,True,True,True,
60,HYBRID_BASE,4,3,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,HYBRID_BASE,5,0,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,HYBRID_BASE,5,4,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
60,HYBRID_BASE,6,1,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,HYBRID_BASE,6,2,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,HYBRID_BASE,7,0,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,HYBRID_BASE,7,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,W1_TOP2,0,2,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,W1_TOP2,0,4,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,W1_TOP2,1,0,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+OUTPUT_CONTRACT
60,W1_TOP2,1,3,1,True,True,True,
60,W1_TOP2,2,1,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,W1_TOP2,2,3,1,True,True,True,
60,W1_TOP2,3,2,2,True,True,True,SEMANTIC_QUALITY_ONLY
60,W1_TOP2,3,4,2,True,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
60,W1_TOP2,4,0,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,W1_TOP2,4,2,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,W1_TOP2,5,1,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,W1_TOP2,5,2,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,W1_TOP2,6,3,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,W1_TOP2,6,4,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
60,W1_TOP2,7,0,2,False,True,True,SEMANTIC_QUALITY_ONLY
60,W1_TOP2,7,1,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,0,0,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,0,1,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,1,2,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,1,3,1,True,True,True,
61,HYBRID_BASE,2,0,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,2,4,1,True,True,True,
61,HYBRID_BASE,3,2,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
61,HYBRID_BASE,3,3,1,True,True,True,
61,HYBRID_BASE,4,0,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,4,4,1,True,True,True,
61,HYBRID_BASE,5,1,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
61,HYBRID_BASE,5,2,1,True,True,True,
61,HYBRID_BASE,6,2,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,6,3,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,7,0,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
61,HYBRID_BASE,7,1,2,True,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
61,W1_TOP2,0,0,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,W1_TOP2,0,1,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,W1_TOP2,1,2,1,True,True,True,
61,W1_TOP2,1,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,W1_TOP2,2,2,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
61,W1_TOP2,2,3,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
61,W1_TOP2,3,0,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
61,W1_TOP2,3,2,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
61,W1_TOP2,4,1,2,True,True,True,SEMANTIC_QUALITY_ONLY
61,W1_TOP2,4,2,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
61,W1_TOP2,5,3,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
61,W1_TOP2,5,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,W1_TOP2,6,0,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,W1_TOP2,6,2,2,False,True,True,SEMANTIC_QUALITY_ONLY
61,W1_TOP2,7,3,1,True,True,True,
61,W1_TOP2,7,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
