agent_id,baseline_plurality_margin_votes,candidate_id,candidate_plurality_margin_votes,candidate_prompt_char_count,candidate_prompt_ends_with_sentence_boundary,candidate_prompt_over_soft_limit,candidate_prompt_overlength_rejected,candidate_reward_component_missing,candidate_target_accuracy,competence_reward_component,depth1_gain_rate,depth1_loss_rate,depth1_net_delta,depth2_gain_rate,depth2_loss_rate,depth2_metric_missing,depth2_net_delta,depth3_gain_rate,depth3_loss_rate,depth3_net_delta,epoch,metric_missing,plurality_margin_vote_delta,plurality_metric_missing,plurality_pivotal_fix_opportunity_rate,plurality_pivotal_fix_rate,plurality_pivotal_loss_rate,plurality_vote_gain_rate,plurality_vote_loss_rate,plurality_vote_net_delta,reward,setting_seed,specialization_strength,stage_aux_objective,step,task,vote_gain_rate,vote_loss_rate
2,-0.2,g1_a2_p26b37815e849_1_d09f50ac2dea,0.2,310,True,False,False,False,0.6,0.19999999999999996,0.1,0.0,0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
2,-0.2,g0_00bcb3ee9efb,-0.2,171,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
0,0.2,g1_a0_p26b37815e849_0_bbc7179f22ec,0.6,301,True,False,False,False,0.6,0.27999999999999997,0.0,0.0,0.0,0.1,0.0,False,0.1,0.0,0.0,0.0,1,False,0.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.1,10,disambiguation_qa,0.0,0.0
0,0.2,g1_a0_p26b37815e849_1_f0eea2f62992,0.8,280,True,False,False,False,0.7,0.37999999999999995,0.1,0.0,0.1,0.1,0.0,False,0.1,0.0,0.0,0.0,1,False,0.6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.37999999999999995,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.1,10,disambiguation_qa,0.0,0.0
0,0.2,g0_00bcb3ee9efb,0.2,171,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
2,-1.2,g2_a2_p26b37815e849_0_718acc2dcaf8,-1.0,322,True,False,False,False,0.4,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000003,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
2,-1.2,g2_a2_p26b37815e849_1_ed23c450c0eb,-1.0,317,True,False,False,False,0.4,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000003,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
2,-1.2,g2_a2_p21ff4404393d_0_7458b96c9cf2,-1.0,441,True,False,False,False,0.4,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000003,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
2,-1.2,g2_a2_p21ff4404393d_1_a2448802467f,-1.0,440,True,False,False,False,0.4,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000003,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
2,-1.2,g1_a2_p26b37815e849_1_d09f50ac2dea,-1.2,171,True,False,False,False,0.3,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
2,-1.2,g1_a2_p26b37815e849_0_0507f230e296,-1.2,313,True,False,False,False,0.3,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
4,-1.0,g1_a4_p26b37815e849_0_daec723fbdbc,-1.0,285,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
4,-1.0,g1_a4_p26b37815e849_1_ef414231d8ba,-0.8,306,True,False,False,False,0.5,0.09999999999999998,0.1,0.0,0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
4,-1.0,g0_00bcb3ee9efb,-1.0,171,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
0,0.0,g1_a0_p26b37815e849_0_aa4e89b7f97a,0.0,269,True,False,False,False,0.5,0.0,0.0,0.1,-0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
0,0.0,g1_a0_p26b37815e849_1_d591c96c334d,0.0,252,True,False,False,False,0.5,0.0,0.0,0.1,-0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
0,0.0,g0_00bcb3ee9efb,0.0,171,True,False,False,False,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
2,0.0,g1_a2_p26b37815e849_0_d92b9c6f9ed3,0.4,332,True,False,False,False,0.7,0.19999999999999996,0.2,0.0,0.2,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
2,0.0,g1_a2_p26b37815e849_1_1c7c9aafa85b,0.0,294,True,False,False,False,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
2,0.0,g0_00bcb3ee9efb,0.0,171,True,False,False,False,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
4,-1.0,g1_a4_p26b37815e849_0_a0aab7396a18,-1.0,343,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
4,-1.0,g1_a4_p26b37815e849_1_0887d74e4642,-1.0,304,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
4,-1.0,g0_00bcb3ee9efb,-1.0,171,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
3,-1.0,g1_a3_p26b37815e849_0_7554af9e1296,-1.0,335,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
3,-1.0,g1_a3_p26b37815e849_1_293cb5d0eea7,-1.0,314,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
3,-1.0,g0_00bcb3ee9efb,-1.0,171,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
