seed,update_index,candidate_hash,target_member,candidate_stage,target_gain,vote_gain_count,vote_loss_count,vote_net_gain,coverage_gain_count,coverage_loss_count,dominant_wrong_exit_count,dominant_wrong_join_count,soft_utility_delta,minimum_gain_count,total_gain_count,unique_correct_loss_count,pivotal_correct_loss_count,branch_rank,cell_rank,selected_winner,validation_cache_rows,validation_evidence_status,posthoc_validation_target_delta,posthoc_validation_vote_delta,posthoc_validation_oracle_delta
69,3,b643ff45731b043e66be835e01383db1ee6e42b8cec6a3e1ff66525bf1f44c61,2,source,4,2,2,0,1,0,10,6,0.018720781265602254,0,21,0,2,2,,False,0,unobserved,,,
69,5,341d8bf92c517f8824b4916850896916c7c1011a0e6396422de239dfb7a248d0,4,revision,4,2,2,0,0,0,11,7,0.014224596249451478,0,25,0,2,2,,False,0,unobserved,,,
69,5,44f28a40306cef5d7c91b6dfb9d3b70755312d9825cab72fab463dfdcf2638b7,4,revision,6,3,2,1,1,0,13,7,0.019692337366525568,0,27,0,1,1,1,True,50,complete_selected_winner,-6,-1,-1
69,5,ae46002537970a13104d0ea50c9a2e8585925ae0ae4b533518adfc1f1cb84eac,4,source,3,2,2,0,0,0,11,8,0.011271055606885764,0,24,0,2,3,,False,0,unobserved,,,
69,5,e445c8ead5d4b3fcb3c798436162ebb0277daa70a4a6dc0921f74a569e3dec72,4,source,2,2,2,0,0,0,10,8,0.010727948643508673,0,23,0,2,4,,False,0,unobserved,,,
69,6,3e68de3f1490efb4ebf1d32a5c61406f57b839cdb7f80d7d755861792079b7b1,2,revision,2,2,2,0,0,1,8,7,-0.0020838051339696763,0,29,1,2,2,,False,0,unobserved,,,
69,6,e0509e7f0046580faa1066da69c3d67e9ad46137718a56049e2bffd1d13e8cc7,2,source,4,2,1,1,0,1,8,5,0.007031297605396164,0,31,1,1,1,1,True,50,complete_selected_winner,-6,0,-1
69,6,4227a889943407e11bdda872853acb01f6ec900b202bccd58df4d93b3322555d,4,revision,0,1,0,1,0,0,4,3,0.006575482451350382,0,27,0,0,1,2,False,0,unobserved,,,
70,0,333874123da6baf942e4976ca0cce15673497412fd78f15f53d6841f9bd1f31b,2,revision,2,0,0,0,11,0,11,9,0.002067832062315967,0,2,0,0,1,1,True,50,complete_selected_winner,2,0,5
70,3,c88143468372284205987798e734cc1df143d62af8cb4dad9a63ae51e0493650,3,source,1,0,0,0,4,0,10,8,0.00426752000978824,0,3,0,0,1,1,True,50,complete_selected_winner,-4,0,0
70,4,333d6bc90d22e691bbc2e0d259d3806c57fe2bb667de7452948ba294f9d5d88f,4,revision,13,4,1,3,1,0,15,2,0.0478226507796654,0,16,0,1,1,1,True,50,complete_selected_winner,-2,0,1
70,4,3766e2651a90792f61994a5163df808c701463e7d32487a73bb33d611e0f5435,4,revision,2,5,4,1,0,0,12,9,0.014479077061120157,0,5,0,4,3,,False,0,unobserved,,,
70,4,cbb5a4abbe4349c9c47e19be1888d2b05fad1649a49cc56b119a07ab3db7a842,4,source,6,5,4,1,0,0,12,6,0.025463452719290017,0,9,0,4,2,,False,0,unobserved,,,
70,5,8f59f0ae910fdff97b0295fd9d03b71eb4897f9d746eb27d0ddbc5a8ecfbcf33,0,revision,9,9,1,8,1,0,14,4,0.051251007705528845,0,25,0,1,1,1,True,50,complete_selected_winner,-2,-1,2
70,5,b72bf50b38f51e58831bc392ea12df3ad049ec45dddb469d5491e746965d0a8b,0,revision,1,6,2,4,1,0,9,8,0.014790596748065482,0,17,0,2,3,,False,0,unobserved,,,
70,5,c2f8323abce157516f4dcd81212501567ec24082d77e038f0842f6daea079449,0,source,5,7,2,5,0,0,11,6,0.03213397643942758,0,21,0,2,2,,False,0,unobserved,,,
70,5,926a9aa17d41bad9f22d47a61b8f42d48d5133c9c0f9eb95ae157966615c7b8f,1,revision,10,8,1,7,2,0,15,5,0.04626489754780671,0,26,0,1,1,2,False,0,unobserved,,,
70,5,b9526b7c1daafdcebe3d286951799dfa1de15c7eca56bd835c26d7a8a9c2a5ff,1,source,1,7,4,3,1,0,12,10,0.021894657379796994,0,17,0,4,4,,False,0,unobserved,,,
70,5,d9a5e4150c1f402cda2c96e3ae5960d6f988f6a946115cd6c9ffbd939663fe9a,1,revision,8,8,2,6,0,0,14,5,0.04420261982135913,0,24,0,2,2,,False,0,unobserved,,,
70,5,f0a8d9f7fe61120ece8b7f4326592f4e88bc6360c8d58ba06d9dc75de2f42d7e,1,source,3,6,2,4,0,0,10,7,0.024103141423823433,0,19,0,2,3,,False,0,unobserved,,,
