seed,arm,update_index,parent_team_hash,successor_team_hash,target1,target2,target1_selector_type,target2_selector_type,feasible_branch_count,feasible_candidate_count,committed,committed_target,train_target_delta,train_vote_delta,train_oracle_delta,validation_target_delta,validation_vote_delta,validation_oracle_delta,responsibility_refresh_count_before,responsibility_refresh_count_after,validation_state_index_before,validation_state_index_after,validation_evaluated
59,HYBRID_BASE,3,110e1ded567a914620f9b457e3d6b3a4b970d1358d529cc111a94f5fe4a4e3f8,ee700831d22cf497ac78a0d386343f8e04495889d7a98a5d9c51c6a15b0a156b,1,0,W1_RANK1,RESPONSIBILITY_RR,1,4,True,0,6,2,3,-4,-1,3,3,4,2,3,True
59,HYBRID_BASE,4,ee700831d22cf497ac78a0d386343f8e04495889d7a98a5d9c51c6a15b0a156b,c73d2bb9b0df443fc8bc740ca2be2aa3f899bf307da70c69f44276d050978237,4,2,W1_RANK1,RESPONSIBILITY_RR,1,1,True,2,2,0,0,1,0,0,4,5,3,4,True
59,HYBRID_BASE,5,c73d2bb9b0df443fc8bc740ca2be2aa3f899bf307da70c69f44276d050978237,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,4,0,W1_RANK1,RESPONSIBILITY_RR,1,2,True,0,0,1,1,9,2,5,5,6,4,5,True
59,HYBRID_BASE,6,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,4,1,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,False
59,HYBRID_BASE,7,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,4,3,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,False
60,W1_TOP2,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,4,2,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,False
60,W1_TOP2,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,3,0,W1_RANK1,W1_RANK2,1,2,True,3,7,0,12,1,0,6,1,2,0,1,True
60,W1_TOP2,2,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,1,3,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,False
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,4,2,W1_RANK1,W1_RANK2,1,2,True,4,6,0,8,-2,0,2,2,3,1,2,True
60,W1_TOP2,4,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,2,0,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
60,W1_TOP2,5,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,1,2,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
60,W1_TOP2,6,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,3,4,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
60,W1_TOP2,7,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,0,1,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
60,HYBRID_BASE,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,4,0,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,False
60,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,2,3,W1_RANK1,RESPONSIBILITY_RR,1,2,True,3,6,0,11,-2,0,4,1,2,0,1,True
60,HYBRID_BASE,2,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,3,4,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,False
60,HYBRID_BASE,3,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,0,1,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,False
60,HYBRID_BASE,4,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,9036104c783e03f560833754fcf609da4886de59f588e5ccef6f04af379baf5d,2,3,W1_RANK1,RESPONSIBILITY_RR,1,1,True,2,7,0,6,4,0,3,2,3,1,2,True
60,HYBRID_BASE,5,9036104c783e03f560833754fcf609da4886de59f588e5ccef6f04af379baf5d,9036104c783e03f560833754fcf609da4886de59f588e5ccef6f04af379baf5d,4,0,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
60,HYBRID_BASE,6,9036104c783e03f560833754fcf609da4886de59f588e5ccef6f04af379baf5d,9036104c783e03f560833754fcf609da4886de59f588e5ccef6f04af379baf5d,1,2,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
60,HYBRID_BASE,7,9036104c783e03f560833754fcf609da4886de59f588e5ccef6f04af379baf5d,9036104c783e03f560833754fcf609da4886de59f588e5ccef6f04af379baf5d,4,0,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
61,W1_TOP2,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,1,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,False
61,W1_TOP2,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,ba4896ac379769ab17d99a5b79816329a96126f25e2cd797ab11607048f5f471,2,4,W1_RANK1,W1_RANK2,1,1,True,2,2,0,9,-6,0,2,1,2,0,1,True
61,W1_TOP2,2,ba4896ac379769ab17d99a5b79816329a96126f25e2cd797ab11607048f5f471,ba4896ac379769ab17d99a5b79816329a96126f25e2cd797ab11607048f5f471,2,3,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,False
61,W1_TOP2,3,ba4896ac379769ab17d99a5b79816329a96126f25e2cd797ab11607048f5f471,ba4896ac379769ab17d99a5b79816329a96126f25e2cd797ab11607048f5f471,2,0,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,False
61,W1_TOP2,4,ba4896ac379769ab17d99a5b79816329a96126f25e2cd797ab11607048f5f471,9a90c8eee18bf96f867afd5ab38ab34a41c138dad0eabd511d9d91f262cedf0b,2,1,W1_RANK1,W1_RANK2,1,4,True,1,13,0,9,2,0,4,2,3,1,2,True
61,W1_TOP2,5,9a90c8eee18bf96f867afd5ab38ab34a41c138dad0eabd511d9d91f262cedf0b,9a90c8eee18bf96f867afd5ab38ab34a41c138dad0eabd511d9d91f262cedf0b,3,4,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
61,W1_TOP2,6,9a90c8eee18bf96f867afd5ab38ab34a41c138dad0eabd511d9d91f262cedf0b,9a90c8eee18bf96f867afd5ab38ab34a41c138dad0eabd511d9d91f262cedf0b,0,2,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
61,W1_TOP2,7,9a90c8eee18bf96f867afd5ab38ab34a41c138dad0eabd511d9d91f262cedf0b,2d2026c33806652bb4043900994638b2c145acbd1d630692695de60da10c9250,3,4,W1_RANK1,W1_RANK2,1,4,True,3,6,6,0,-4,0,1,3,4,2,3,True
61,HYBRID_BASE,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,1,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,False
61,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,d5cc4ee5f392f9d4855c3e71b382be1adfd2753b6137219b46bef81980c8dd47,2,3,W1_RANK1,RESPONSIBILITY_RR,1,4,True,3,8,0,16,-1,0,4,1,2,0,1,True
61,HYBRID_BASE,2,d5cc4ee5f392f9d4855c3e71b382be1adfd2753b6137219b46bef81980c8dd47,74a3a5736e774b407cdc4ef4e7498ebd8cb44256edef9e677cad567ddd4a8c97,4,0,W1_RANK1,RESPONSIBILITY_RR,1,2,True,4,8,0,5,-7,0,1,2,3,1,2,True
61,HYBRID_BASE,3,74a3a5736e774b407cdc4ef4e7498ebd8cb44256edef9e677cad567ddd4a8c97,74a3a5736e774b407cdc4ef4e7498ebd8cb44256edef9e677cad567ddd4a8c97,2,3,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
61,HYBRID_BASE,4,74a3a5736e774b407cdc4ef4e7498ebd8cb44256edef9e677cad567ddd4a8c97,9ba602b7b1b018f661e4f7a2217a9ab5d09606ed0a105339348ddab3d5316a28,0,4,W1_RANK1,RESPONSIBILITY_RR,1,1,True,4,1,0,-2,3,0,1,3,4,2,3,True
61,HYBRID_BASE,5,9ba602b7b1b018f661e4f7a2217a9ab5d09606ed0a105339348ddab3d5316a28,cede8c399178eb2b0e29b55c4dde829aa1fc924e3209269da617245623010045,1,2,W1_RANK1,RESPONSIBILITY_RR,1,3,True,2,7,9,1,-5,-3,0,4,5,3,4,True
61,HYBRID_BASE,6,cede8c399178eb2b0e29b55c4dde829aa1fc924e3209269da617245623010045,cede8c399178eb2b0e29b55c4dde829aa1fc924e3209269da617245623010045,2,3,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,False
61,HYBRID_BASE,7,cede8c399178eb2b0e29b55c4dde829aa1fc924e3209269da617245623010045,cede8c399178eb2b0e29b55c4dde829aa1fc924e3209269da617245623010045,0,1,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,False
