event_id,seed,question_hash,creation_update,creator_agent_id,eligible_update_count,eligible_agent_update_opportunity_count,selected_opportunity_count,assigned_opportunity_count,explicit_context_hit_count,valid_candidate_opportunity_count,common_safe_feasible_opportunity_count,accepted_opportunity_count,ever_eligible,ever_selected,ever_assigned,ever_context_hit,ever_valid_candidate,ever_common_safe_feasible,ever_accepted,eventually_vote_converted,coverage_lost,first_eligible_update,first_selected_update,first_assigned_update,first_context_update,first_valid_candidate_update,first_feasible_update,first_accepted_update,terminal_status_at_raw_attempt_scan
49-S2-7,49,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,0,2,7,4,2,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,1,,,,,vote_converted
49-S2-8,49,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,0,4,13,7,3,3,3,0,0,True,True,True,True,True,False,False,True,False,1,1,2,2,2,,,vote_converted
49-S2-9,49,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,0,2,7,4,1,1,1,1,1,True,True,True,True,True,True,True,True,False,1,1,2,2,2,2,2,vote_converted
49-S2-10,49,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,0,2,7,4,0,0,0,0,0,True,True,False,False,False,False,False,True,False,1,1,,,,,,vote_converted
49-S2-11,49,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,0,2,7,4,2,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,1,,,,,vote_converted
49-S2-12,49,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,4,1,27,74,37,12,12,9,2,2,True,True,True,True,True,True,True,False,False,5,5,7,7,7,14,14,run_end
49-S2-13,49,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,4,1,27,108,52,11,0,0,0,0,True,True,True,False,False,False,False,False,False,5,5,7,,,,,run_end
49-S2-14,49,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,4,1,27,108,52,11,0,0,0,0,True,True,True,False,False,False,False,False,False,5,5,7,,,,,run_end
49-S2-15,49,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,13,0,18,72,30,8,0,0,0,0,True,True,True,False,False,False,False,False,False,14,14,14,,,,,run_end
49-S2-16,49,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,13,0,18,72,30,8,0,0,0,0,True,True,True,False,False,False,False,False,False,14,14,14,,,,,run_end
50-S2-0,50,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,0,2,7,3,0,0,0,0,0,True,True,False,False,False,False,False,True,False,1,1,,,,,,vote_converted
50-S2-1,50,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,0,2,7,3,1,1,1,1,1,True,True,True,True,True,True,True,True,False,1,1,2,2,2,2,2,vote_converted
50-S2-2,50,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,0,2,7,3,1,1,1,0,0,True,True,True,True,True,False,False,True,False,1,1,2,2,2,,,vote_converted
50-S2-3,50,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,0,13,40,16,12,12,11,3,3,True,True,True,True,True,True,True,True,False,1,1,2,2,2,4,4,vote_converted
50-S2-4,50,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,0,0,2,7,3,1,1,1,1,1,True,True,True,True,True,True,True,True,False,1,1,1,1,1,1,1,vote_converted
50-S2-5,50,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,0,0,31,112,44,13,2,1,0,0,True,True,True,True,True,False,False,False,False,1,1,6,6,11,,,run_end
50-S2-6,50,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,0,0,31,112,44,9,0,0,0,0,True,True,True,False,False,False,False,False,False,1,1,6,,,,,run_end
50-S2-7,50,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,0,2,7,3,1,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,2,,,,,vote_converted
50-S2-8,50,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,0,31,106,42,15,15,5,0,0,True,True,True,True,True,False,False,False,False,1,1,6,6,11,,,run_end
50-S2-9,50,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,0,2,7,3,2,2,2,2,2,True,True,True,True,True,True,True,True,False,1,1,1,1,1,1,1,vote_converted
50-S2-10,50,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,0,2,7,3,2,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,1,,,,,vote_converted
50-S2-11,50,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,0,2,7,3,0,0,0,0,0,True,True,False,False,False,False,False,True,False,1,1,,,,,,vote_converted
50-S2-12,50,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,4,4,2,8,2,1,0,0,0,0,True,True,True,False,False,False,False,False,True,5,5,6,,,,,coverage_lost
50-S2-13,50,e39c7bfc2d60a8ac6ae2571f14cc7b9c6092369df29244754b49bd6b186692b6,13,2,18,54,24,7,0,0,0,0,True,True,True,False,False,False,False,False,False,14,14,14,,,,,run_end
50-S2-14,50,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,13,2,18,54,24,7,4,1,0,0,True,True,True,True,True,False,False,False,False,14,14,14,21,21,,,run_end
50-S2-15,50,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,19,2,12,48,20,4,0,0,0,0,True,True,True,False,False,False,False,False,False,20,20,21,,,,,run_end
