sample_id,question,answer
60,"Which of the following is a humorous edit of this artist or movie name: 'gold finger'?
Options:
(A) pold finger
(B) golt finger
(C) gohd finger
(D) mold finger",(D)
135,"Which of the following is a humorous edit of this artist or movie name: 'phish'?
Options:
(A) phist
(B) phisg
(C) pkish
(D) phigh",(A)
138,"Which of the following is a humorous edit of this artist or movie name: 'pink floyd'?
Options:
(A) pinkffloyd
(B) pijk floyd
(C) wink floyd
(D) punk floyd",(D)
125,"Which of the following is a humorous edit of this artist or movie name: 'offspring'?
Options:
(A) offsprinig
(B) offsprinc
(C) offespring
(D) offstring",(D)
231,"Which of the following is a humorous edit of this artist or movie name: 'frank kappa'?
Options:
(A) frank fkappa
(B) franks kappa
(C) frank kappa
(D) frank kapoa",(C)
30,"Which of the following is a humorous edit of this artist or movie name: 'blade'?
Options:
(A) blades
(B) blkade
(C) slade
(D) blaqe",(C)
204,"Which of the following is a humorous edit of this artist or movie name: 'killing joke'?
Options:
(A) killing toke
(B) killing jokes
(C) killing coke
(D) villing joke",(A)
46,"Which of the following is a humorous edit of this artist or movie name: 'snakes on a plane'?
Options:
(A) snake on a plane
(B) shakes on a plane
(C) snakes on a plan
(D) snakes on a plaone",(B)
221,"Which of the following is a humorous edit of this artist or movie name: 'black sabbath'?
Options:
(A) blaik sabbath
(B) black seabbath
(C) black sabzbath
(D) slack sabbath",(D)
2,"Which of the following is a humorous edit of this artist or movie name: 'the rolling stones'?
Options:
(A) the rolling scones
(B) the rolling stone
(C) the tolling stones
(D) the rollizng stones",(A)
156,"Which of the following is a humorous edit of this artist or movie name: 'gone with the wind'?
Options:
(A) gone with the wino
(B) gone with thecwind
(C) gone withmthe wind
(D) gone with the wicd",(A)
159,"Which of the following is a humorous edit of this artist or movie name: 'run dmc'?
Options:
(A) runxdmc
(B) rqn dmc
(C) run dac
(D) run dnc",(D)
202,"Which of the following is a humorous edit of this artist or movie name: '12 angry men'?
Options:
(A) 2 angry men
(B) 12 angry mhen
(C) 12oangry men
(D) 12 hangry men",(D)
106,"Which of the following is a humorous edit of this artist or movie name: 'the girl with all the gifts'?
Options:
(A) the girl with all the grifts
(B) the girl with alf the gifts
(C) the girl with iall the gifts
(D) the girl with all thke gifts",(A)
152,"Which of the following is a humorous edit of this artist or movie name: 'rita, sue and bob too'?
Options:
(A) rita
(B) sue and bob too
(C) rita
(D) sue and bob poo
(E) rita
(F) sue and box too
(G) rita,y sue and bob too","rita, sue and bob poo"
