update_index,parent_team_hash,target_agent_id,branch_id,module2_variant,responsibility_evidence_hash,diagnosis_primary_failure_mode_hash,diagnosis_evidence_count,diagnosis_peer_contrast_present,diagnosis_edit_plan_count,critic_calls,critic_semantic_rejections,critic_rejection_reason_counts,critic_exhausted,student_reached,raw_candidates,valid_candidates
1,2616f5d3180a34e771835ee5b69be716a46cfdc9625422b745686e3b878fc7ca,3,3,m2b_diagnosis_minimal_edit,696ab60115b249553f61947b398a0081394b56276173ee832fca5f030c2d1187,04188e5ab1854693a77878985d3e3f4eb81e64782752c33beadad7be805ee907,2,True,2,1,0,{},False,True,2,2
1,2616f5d3180a34e771835ee5b69be716a46cfdc9625422b745686e3b878fc7ca,3,3,m20_current_v15,696ab60115b249553f61947b398a0081394b56276173ee832fca5f030c2d1187,,0,False,0,2,1,"{""actionable_specificity"": 1}",False,True,2,2
2,fb125956818070d58f3e78f4234122533bd13c122ab43108949040eac1de275e,4,4,m2b_diagnosis_minimal_edit,c07548239793409c135c9cfe1aa996a78474f4fd0383692cce68814644cafc44,5c03ce5a2d7d2457fe454750b282184d54a0b1bf3ddae36843095156d6c5cd40,2,True,2,1,0,{},False,True,2,2
2,fb125956818070d58f3e78f4234122533bd13c122ab43108949040eac1de275e,4,4,m20_current_v15,c07548239793409c135c9cfe1aa996a78474f4fd0383692cce68814644cafc44,,0,False,0,1,0,{},False,True,2,2
2,fb125956818070d58f3e78f4234122533bd13c122ab43108949040eac1de275e,4,4,m2d_raw_responsibility_minimal_edit,c07548239793409c135c9cfe1aa996a78474f4fd0383692cce68814644cafc44,,0,False,0,1,0,{},False,True,2,2
2,45c97062f30bf90c6abd381a4505c6bb3a5c6397d0b4d18d9ee05ec07246d4d5,2,2,m20_current_v15,772cca8c9e41cee856fbe5edb92fb5e2bda6da56b1b37a692a829c173f9aa8ff,,0,False,0,1,0,{},False,True,2,2
2,45c97062f30bf90c6abd381a4505c6bb3a5c6397d0b4d18d9ee05ec07246d4d5,2,2,m2d_raw_responsibility_minimal_edit,772cca8c9e41cee856fbe5edb92fb5e2bda6da56b1b37a692a829c173f9aa8ff,,0,False,0,2,1,"{""evidence_mismatch"": 1}",False,True,2,2
2,45c97062f30bf90c6abd381a4505c6bb3a5c6397d0b4d18d9ee05ec07246d4d5,2,2,m2b_diagnosis_minimal_edit,772cca8c9e41cee856fbe5edb92fb5e2bda6da56b1b37a692a829c173f9aa8ff,dda730e5ba6d1ff49bf590af2267fc71e4c11e25f4b54827e54b0279ebbcbde0,2,True,2,1,0,{},False,True,2,2
3,d49c10a741dc33573263d5a2b69d2a896baa4d3a460e2664d75deb2a0c8869ce,1,1,m2d_raw_responsibility_minimal_edit,2f533f5120bbb3f085aca9d5e871bafe8759a330e9eefc5d9105fefd555ca5ed,,0,False,0,1,0,{},False,True,2,2
3,d49c10a741dc33573263d5a2b69d2a896baa4d3a460e2664d75deb2a0c8869ce,1,1,m2b_diagnosis_minimal_edit,2f533f5120bbb3f085aca9d5e871bafe8759a330e9eefc5d9105fefd555ca5ed,c833bd65642c1846eee53eab76f7ab27f95bdba2606bf4c03490a4a2a13c853c,2,True,2,1,0,{},False,True,2,2
3,d49c10a741dc33573263d5a2b69d2a896baa4d3a460e2664d75deb2a0c8869ce,1,1,m20_current_v15,2f533f5120bbb3f085aca9d5e871bafe8759a330e9eefc5d9105fefd555ca5ed,,0,False,0,1,0,{},False,True,2,2
